id,region,total_sales,gender,category,tags
1,North,1200,Male,A,"['high_demand']"
2,South,800,Female,B,"['low_demand']"
3,East,300,Male,A,"['medium_demand']"
4,West,1000,Female,C,"['high_demand']"
5,South,,Male,B,"['low_demand']"
6,North,1500,Female,A,"['high_demand', 'priority']"
7,West,400,Male,B,"['medium_demand']"
8,East,950,Female,C,"['medium_demand', 'seasonal']"
9,South,1100,Male,A,"['high_demand']"
10,West,500,Female,B,"['low_demand', 'seasonal']"
11,North,1750,Male,C,"['priority']"
12,East,750,Female,A,"['medium_demand']"
13,South,450,Male,C,"['low_demand']"
14,West,1200,Female,A,"['high_demand', 'priority']"
15,North,650,Male,B,"['medium_demand', 'seasonal']"
16,South,890,Female,C,"['low_demand', 'priority']"
17,East,1320,Male,A,"['high_demand']"
18,West,700,Female,B,"['medium_demand']"
19,North,1550,Male,C,"['priority', 'seasonal']"
20,South,480,Female,A,"['low_demand']"
