id,region,total_sales,gender,category,demand_tags,season,priority,date
1,West,,Female,C,low,spring,low,2024-05-22
2,South,,Male,C,,"summer,fall",low,2024-09-29
3,East,,Female,A,low,winter,low,2024-04-19
4,North,1582.0,Male,B,low,spring,high,2024-09-26
5,North,1682.0,Male,A,low,"winter,spring",low,2023-08-04
6,West,,Female,B,low,"summer,winter",high,2022-11-24
7,West,645.0,Male,B,low,spring,low,2024-04-18
8,East,,Male,A,low,"spring,summer",low,2025-02-24
9,East,,Female,A,low,winter,low,2025-11-29
10,North,,Male,C,high,"summer,winter",low,2023-12-04
11,South,,Male,A,low,summer,low,2022-01-25
12,South,,Male,B,medium,spring,high,2024-04-15
13,South,,Female,B,medium,winter,low,2023-12-27
14,South,,Female,A,low,"spring,winter",low,2024-02-07
15,South,1806.0,Male,C,low,fall,low,2022-03-08
16,West,1218.0,Female,C,high,"summer,winter",high,2025-04-24
17,North,682.0,Male,C,high,"spring,summer",high,2023-05-07
18,East,1260.0,Female,C,high,"summer,winter",low,2022-03-09
19,East,633.0,Female,C,high,"fall,summer",high,2022-05-24
20,East,,Male,B,low,"spring,summer",high,2022-04-03
21,South,,Female,C,low,"fall,winter",low,2024-12-10
22,South,,Male,B,medium,fall,low,2025-08-26
23,West,,Female,A,low,"fall,winter",low,2024-07-01
24,West,421.0,Male,B,high,summer,high,2022-11-01
25,West,,Female,B,low,"summer,winter",low,2025-01-21
26,North,1198.0,Female,B,high,winter,low,2022-11-08
27,East,1765.0,Male,B,high,"spring,summer",high,2025-11-23
28,South,,Male,A,high,spring,high,2022-02-11
29,South,,Female,A,low,"fall,winter",low,2024-03-15
30,East,816.0,Male,B,high,spring,high,2025-10-11
31,North,1996.0,Female,C,low,winter,low,2023-04-12
32,South,741.0,Female,A,low,summer,low,2023-07-20
33,North,,Male,C,high,spring,low,2025-09-01
34,West,1551.0,Male,C,medium,"spring,winter",low,2023-06-22
35,South,1816.0,Female,C,medium,spring,low,2025-05-09
36,North,1530.0,Male,B,low,summer,low,2025-10-08
37,North,,Male,C,medium,winter,high,2022-09-27
38,West,,Male,C,low,fall,low,2025-05-09
39,North,822.0,Female,A,low,"spring,fall",low,2025-03-18
40,West,,Female,C,high,spring,high,2024-01-04
41,North,,Female,A,low,"spring,winter",low,2023-10-01
42,West,,Male,B,low,"summer,spring",low,2024-09-14
43,South,1118.0,Male,B,low,"spring,summer",low,2025-01-18
44,South,,Female,C,low,fall,low,2024-01-01
45,East,,Male,A,low,fall,low,2024-08-12
46,East,,Female,C,low,"spring,winter",low,2025-06-26
47,West,612.0,Female,B,low,"fall,spring",low,2025-09-19
48,North,,Male,B,medium,spring,low,2022-10-19
49,South,1078.0,Male,C,high,"spring,summer",high,2022-07-29
50,South,807.0,Female,C,low,"fall,spring",low,2025-01-30
51,West,,Female,C,high,fall,high,2024-07-08
52,North,1271.0,Male,A,low,"spring,fall",low,2023-10-25
53,East,1218.0,Female,C,low,"spring,fall",high,2022-05-30
54,West,,Male,B,low,"winter,spring",low,2025-02-22
55,West,314.0,Male,C,high,spring,high,2022-12-19
56,North,,Male,C,high,fall,low,2024-06-17
57,North,1795.0,Male,A,low,"winter,spring",low,2024-09-08
58,East,,Female,A,low,fall,low,2022-10-16
59,South,1493.0,Male,C,low,"winter,fall",low,2023-06-07
60,North,1251.0,Female,A,low,"fall,summer",low,2025-09-21
61,North,,Female,B,low,spring,high,2025-05-23
62,East,,Female,C,low,"summer,fall",low,2022-09-29
63,North,671.0,Male,B,low,"winter,spring",low,2023-09-30
64,South,549.0,Male,B,low,"summer,fall",low,2023-02-05
65,South,1047.0,Female,A,low,fall,low,2024-11-01
66,West,,Male,C,high,fall,high,2023-09-26
67,East,,Male,A,low,"spring,winter",low,2023-06-15
68,West,,Female,A,low,"winter,fall",low,2025-02-25
69,West,675.0,Female,B,low,fall,low,2023-08-18
70,North,,Male,B,low,spring,high,2024-11-12
71,South,,Female,C,high,"summer,spring",high,2024-06-25
72,West,,Male,A,low,summer,low,2025-02-05
73,East,,Male,B,high,"spring,fall",high,2023-10-12
74,East,,Male,C,high,fall,high,2022-09-17
75,West,1293.0,Male,B,low,"spring,winter",low,2023-07-18
76,South,438.0,Female,A,low,winter,high,2023-07-07
77,North,1114.0,Male,B,low,winter,high,2025-07-31
78,West,498.0,Male,B,high,spring,high,2022-08-26
