month,year,average_activity,peak_activity
June,2019,507528.4,865374.0
May,2019,548523.2,997341.0
April,2019,520219.0,971545.0
March,2019,586505.8,1033925.0
February,2019,564909.7,964921.0
January,2019,475747.0,874888.0
December,2018,439367.8,765422.0
November,2018,461073.5,826053.0
October,2018,431173.9,739643.0
September,2018,466470.7,826166.0
August,2018,476101.1,829281.0
July,2018,441714.3,701582.0
June,2018,473900.0,796886.0
May,2018,474325.9,844713.0
April,2018,430340.9,733214.0
March,2018,437262.3,773897.0
February,2018,438847.7,779299.0
January,2018,486861.9,778627.0
December,2017,513074.3,864939.0
November,2017,487381.2,861173.0
October,2017,466126.8,832550.0
September,2017,491450.2,829555.0
August,2017,556496.3,876395.0
July,2017,498444.4,824297.0
June,2017,555289.1,923122.0
May,2017,567526.4,972876.0
April,2017,540278.0,921318.0
March,2017,548435.4,956232.0
February,2017,591567.3,1040877.0
January,2017,580281.5,1007451.0
December,2016,593920.6,1014671.0
November,2016,584251.3,1007270.0
October,2016,639355.1,1141191.0
September,2016,622583.9,1064377.0
August,2016,666013.1,1117519.0
July,2016,638212.7,1084198.0
June,2016,640227.0,1095994.0
May,2016,623798.7,1075307.0
April,2016,656944.4,1164041.0
March,2016,672554.9,1291328.0
February,2016,709178.3,1248394.0
January,2016,612174.8,1067949.0
December,2015,573344.3,999452.0
November,2015,539536.3,943635.0
October,2015,521941.7,917306.0
September,2015,508156.8,888728.0
August,2015,606944.0,933942.0
July,2015,554991.0,877264.0
June,2015,568448.3,913997.0
May,2015,580348.4,967674.0
April,2015,526061.7,929677.0
March,2015,571713.2,1213940.0
February,2015,628970.4,1262612.0
January,2015,558504.3,961737.0
December,2014,523940.3,936583.0
November,2014,528789.8,963810.0
October,2014,495693.0,880655.0
September,2014,477998.5,864261.0
August,2014,490883.9,774319.0
July,2014,537018.7,874975.0
June,2014,513783.1,833145.0
May,2014,482387.2,843024.0
April,2014,421710.2,734998.0
March,2014,409755.6,698197.0
February,2014,421114.2,738682.0
January,2014,393860.3,673496.0
December,2013,366606.5,685503.0
November,2013,348246.4,702792.0
October,2013,329677.6,581615.0
September,2013,312424.8,566715.0
August,2013,330720.1,520532.0
July,2013,237800.1,422617.0
June,2013,210224.8,326160.0
May,2013,194363.8,325815.0
April,2013,174835.7,299667.0
March,2013,180878.9,325598.0
February,2013,166973.0,283870.0
January,2013,147748.1,260989.0
December,2012,121924.4,213521.0
November,2012,101077.4,169631.0
October,2012,75965.4,171860.0
September,2012,61867.7,118724.0
August,2012,55768.6,108689.0
July,2012,52721.1,75041.0
