bin,bin_name,count,cumulative_sum
0,0,7495,7495
1,100,5411,12906
2,200,6502,19408
3,300,8154,27562
4,400,9483,37045
5,500,11254,48299
6,600,13270,61569
7,700,15150,76719
8,800,17291,94010
9,900,21233,115243
10,1000,25556,140799
11,1100,27270,168069
12,1200,29234,197303
13,1300,32001,229304
14,1400,35224,264528
15,1500,37947,302475
16,1600,41157,343632
17,1700,44201,387833
18,1800,48161,435994
19,1900,55047,491041
20,2000,65869,556910
21,2100,65140,622050
22,2200,68750,690800
23,2300,71893,762693
24,2400,76614,839307
25,2500,80019,919326
26,2600,83501,1002827
27,2700,85814,1088641
28,2800,90221,1178862
29,2900,100392,1279254
30,3000,124855,1404109
31,3100,109497,1513606
32,3200,106252,1619858
33,3300,103109,1722967
34,3400,100996,1823963
35,3500,95617,1919580
36,3600,83073,2002653
37,3700,75380,2078033
38,3800,69064,2147097
39,3900,67576,2214673
40,4000,92306,2306979
41,4100,62400,2369379
42,4200,52827,2422206
43,4300,44128,2466334
44,4400,38624,2504958
45,4500,32975,2537933
46,4600,25225,2563158
47,4700,19415,2582573
48,4800,15094,2597667
49,4900,13186,2610853
50,5000,22577,2633430
51,5100,10499,2643929
52,5200,7451,2651380
53,5300,5603,2656983
54,5400,4430,2661413
55,5500,4162,2665575
56,5600,2760,2668335
57,5700,2149,2670484
58,5800,1708,2672192
59,5900,1544,2673736
60,6000,2959,2676695
61,6100,1272,2677967
62,6200,886,2678853
63,6300,680,2679533
64,6400,548,2680081
65,6500,552,2680633
66,6600,342,2680975
67,6700,298,2681273
68,6800,228,2681501
69,6900,198,2681699
70,7000,395,2682094
71,7100,186,2682280
72,7200,104,2682384
73,7300,116,2682500
74,7400,97,2682597
75,7500,69,2682666
76,7600,51,2682717
77,7700,45,2682762
78,7800,38,2682800
79,7900,30,2682830
80,8000,71,2682901
81,8100,29,2682930
82,8200,21,2682951
83,8300,10,2682961
84,8400,17,2682978
85,8500,13,2682991
86,8600,5,2682996
87,8700,5,2683001
88,8800,10,2683011
89,8900,6,2683017
90,9000,8,2683025
91,9100,1,2683026
93,9300,3,2683029
94,9400,1,2683030
95,9500,1,2683031
96,9600,1,2683032
97,9700,1,2683033
100,10000,1,2683034
