bin,bin_name,count,cumulative_sum
0,Herald I,35,35
1,Herald II,239,274
2,Herald III,893,1167
3,Herald IV,2689,3856
4,Herald V,6886,10742
5,Herald VI,11029,21771
6,Herald VII,15670,37441
7,Guardian I,20268,57709
8,Guardian II,24028,81737
9,Guardian III,27710,109447
10,Guardian IV,31332,140779
11,Guardian V,35556,176335
12,Guardian VI,39317,215652
13,Guardian VII,42379,258031
14,Crusader I,47854,305885
15,Crusader II,51646,357531
16,Crusader III,56677,414208
17,Crusader IV,60514,474722
18,Crusader V,65295,540017
19,Crusader VI,68948,608965
20,Crusader VII,72184,681149
21,Archon I,79756,760905
22,Archon II,82915,843820
23,Archon III,88119,931939
24,Archon IV,90126,1022065
25,Archon V,93674,1115739
26,Archon VI,94254,1209993
27,Archon VII,95657,1305650
28,Legend I,102222,1407872
29,Legend II,101519,1509391
30,Legend III,101889,1611280
31,Legend IV,99170,1710450
32,Legend V,96821,1807271
33,Legend VI,91101,1898372
34,Legend VII,85175,1983547
35,Ancient I,86910,2070457
36,Ancient II,79103,2149560
37,Ancient III,72102,2221662
38,Ancient IV,63592,2285254
39,Ancient V,57057,2342311
40,Ancient VI,49503,2391814
41,Ancient VII,156233,2548047
42,Divine I,21157,2569204
43,Divine II,17360,2586564
44,Divine III,14809,2601373
45,Divine IV,12237,2613610
46,Divine V,9808,2623418
47,Divine VI,8023,2631441
48,Divine VII,6261,2637702
49,Immortal,30194,2667896
